Field Activity Id,Field Activity Type Code,cre_dt,Latitude For Service Point,Longitude For Service Point,Premise Address Line 1,Premise City,Premise State,Premise Unit Zip Code
0426061054,NMRLAG,2022-05-05,30.2626227,-81.7339357,4245 SAINT FRANCIS CIR,JACKSONVILLE,FL,32210
0621898143,NMRLAG,2022-05-05,30.2622418,-81.7062021,4619 AVON LN,JACKSONVILLE,FL,32210
1192556291,NMRLAG,2022-05-05,30.2632334,-81.7149894,4480 ORTEGA FOREST DR,JACKSONVILLE,FL,32210
4033865289,NMRLAG,2022-05-05,30.2481734,-81.6988237,4504 BLOUNT AVE,JACKSONVILLE,FL,32210
4618269699,NMRLAG,2022-05-05,30.2501597,-81.692909,4233 DAVINCI AVE,JACKSONVILLE,FL,32210
6555069220,NMRLAG,2022-05-05,30.2542716,-81.7301269,4921 SEABOARD AVE,JACKSONVILLE,FL,32210
0116268005,NMRLAG,2022-05-05,30.2586671,-81.7026671,4626 LONG BOW RD,JACKSONVILLE,FL,32210
0726023279,NMRLAG,2022-05-05,30.2582228,-81.697308,4957 ORTEGA BLVD,JACKSONVILLE,FL,32210
0765836842,NMRLAG,2022-05-05,30.2611054,-81.699175,4834 ARAPAHOE AVE,JACKSONVILLE,FL,32210
1765184088,NMRLAG,2022-05-05,30.2495448,-81.7364315,5923 CREEKSIDE CROSSING DR,JACKSONVILLE,FL,32210
3129002030,NMRLAG,2022-05-05,30.2871422,-81.7137116,4150 HERSCHEL ST,JACKSONVILLE,FL,32210
3553886909,NMRLAG,2022-05-05,30.2540077,-81.7301154,4937 SEABOARD AVE,JACKSONVILLE,FL,32210
7854100761,NMRLAG,2022-05-05,30.2550435,-81.692804,5050 YACHT CLUB RD,JACKSONVILLE,FL,32210
9267601888,NMRLAG,2022-05-05,30.2846353,-81.7085167,1851 WOODMERE DR,JACKSONVILLE,FL,32210
9922814105,NMRLAG,2022-05-05,30.2563443,-81.6984508,5001 ARAPAHOE AVE,JACKSONVILLE,FL,32210
0035520193,NMRLAG,2022-05-05,30.2140318,-81.7151684,7596 ORTEGA BLUFF PKWY,JACKSONVILLE,FL,32244
0080340263,NMRLAG,2022-05-05,30.2366155,-81.7118517,6225 ORTEGA FARMS BLVD,JACKSONVILLE,FL,32244
1600535934,NMRLAG,2022-05-05,30.2161197,-81.7343849,5900 TOWNSEND RD APT 1222,JACKSONVILLE,FL,32244
2503518714,NMRLAG,2022-05-05,30.2346466,-81.7169451,5220 SEASPRAY AVE,JACKSONVILLE,FL,32244
3112709097,NMRLAG,2022-05-05,30.2420919,-81.7245581,5847 CALVARY DR,JACKSONVILLE,FL,32244
3618503154,NMRLAG,2022-05-05,30.3513067,-81.6660168,719 VENUS MARS CT,JACKSONVILLE,FL,32209
4142723443,NMRLAG,2022-05-05,30.2334143,-81.7363753,6407 SHORTLEAF PL,JACKSONVILLE,FL,32244
1134889593,NMRLAG,2022-05-05,30.2496256,-81.7359705,5903 CREEKSIDE CROSSING DR,JACKSONVILLE,FL,32210
1400338102,NMRLAG,2022-05-05,30.2556129,-81.6932767,5014 YACHT CLUB RD,JACKSONVILLE,FL,32210
2633242693,NMRLAG,2022-05-05,30.262443,-81.7370511,4293 BUCK POINT RD,JACKSONVILLE,FL,32210
2698496660,NMRLAG,2022-05-05,30.2489327,-81.7642339,5323 FIRESTONE RD STE 5,JACKSONVILLE,FL,32210
2877183102,NMRLAG,2022-05-05,30.2481834,-81.6922776,4220 GARIBALDI AVE,JACKSONVILLE,FL,32210
3793038120,NMRLAG,2022-05-05,30.2502183,-81.6953512,4333 DAVINCI AVE,JACKSONVILLE,FL,32210
3882389227,NMRLAG,2022-05-05,30.2576109,-81.7293978,5518 MARINERS COVE DR,JACKSONVILLE,FL,32210
3992468700,NMRLAG,2022-05-05,30.2657639,-81.7366547,4010 CONFEDERATE POINT RD,JACKSONVILLE,FL,32210
0737766009,NMRLAG,2022-05-05,30.2572964,-81.7359675,5819 LA MOYA AVE,JACKSONVILLE,FL,32210
1208815899,NMRLAG,2022-05-05,30.2505429,-81.6953187,4332 DEMEDICI AVE,JACKSONVILLE,FL,32210
2930268189,NMRLAG,2022-05-05,30.2509624,-81.6981213,5433 ROOSEVELT BLVD,JACKSONVILLE,FL,32210
3304145188,NMRLAG,2022-05-05,30.2647901,-81.7042596,4545 IROQUOIS AVE,JACKSONVILLE,FL,32210
3657979255,NMRLAG,2022-05-05,30.2527821,-81.6930446,4305 VENETIA BLVD,JACKSONVILLE,FL,32210
5824329289,NMRLAG,2022-05-05,30.2675003,-81.7069556,2946 ALGONQUIN AVE,JACKSONVILLE,FL,32210
5942615941,NMRLAG,2022-05-05,30.2623648,-81.7006979,4751 ALGONQUIN AVE,JACKSONVILLE,FL,32210
6128698928,NMRLAG,2022-05-05,30.2478602,-81.6956703,4345 TIMUQUANA RD,JACKSONVILLE,FL,32210
6363361039,NMRLAG,2022-05-05,30.2649383,-81.7421473,6113 SUDBURY AVE,JACKSONVILLE,FL,32210
6830911047,NMRLAG,2022-05-05,30.2490147,-81.6957355,4344 GENOA AVE,JACKSONVILLE,FL,32210
8132896514,NMRLAG,2022-05-05,30.2665332,-81.7124,4144 CHURCHWELL RD,JACKSONVILLE,FL,32210
1517348283,NMRLAG,2022-05-05,30.235375,-81.7387712,6315 WESCONNETT BLVD,JACKSONVILLE,FL,32244
3721897814,NMRLAG,2022-05-05,30.2016027,-81.7163637,5363 TESSA TE,JACKSONVILLE,FL,32244
3941858520,NMRLAG,2022-05-05,30.2414092,-81.7374926,5959 110TH ST,JACKSONVILLE,FL,32244
4027843766,NMRLAG,2022-05-05,30.2111855,-81.7331801,5804 JASON DR,JACKSONVILLE,FL,32244
0885430185,NMRLAG,2022-05-05,30.2513682,-81.6931582,4274 VENETIA BLVD,JACKSONVILLE,FL,32210
2530565980,NMRLAG,2022-05-05,30.2509624,-81.6981213,5435 ROOSEVELT BLVD,JACKSONVILLE,FL,32210
3892267699,NMRLAG,2022-05-05,30.2491033,-81.7437688,5324 BLANDING BV APT 3A,JACKSONVILLE,FL,32210
4571545419,NMRLAG,2022-05-05,30.2570642,-81.7092753,4931 ORTEGA FOREST DR,JACKSONVILLE,FL,32210
